acks = 1
595.07 MiB/s; 1218.70k records/s
579.04 MiB/s; 1185.88k records/s
709.29 MiB/s; 1452.62k records/s
639.40 MiB/s; 1309.50k records/s
591.80 MiB/s; 1212.00k records/s
580.08 MiB/s; 1188.00k records/s
541.90 MiB/s; 1109.80k records/s
571.38 MiB/s; 1170.20k records/s
492.83 MiB/s; 1009.33k records/s
353.85 MiB/s; 724.67k records/s
383.79 MiB/s; 786.00k records/s
427.64 MiB/s; 875.80k records/s
499.63 MiB/s; 1023.25k records/s
456.41 MiB/s; 934.73k records/s
478.14 MiB/s; 979.22k records/s
457.93 MiB/s; 937.83k records/s
330.76 MiB/s; 677.39k records/s
428.05 MiB/s; 876.64k records/s
440.74 MiB/s; 902.64k records/s
462.96 MiB/s; 948.14k records/s
473.08 MiB/s; 968.86k records/s
466.55 MiB/s; 955.50k records/s
451.17 MiB/s; 924.00k records/s
339.63 MiB/s; 695.57k records/s
440.26 MiB/s; 901.64k records/s
443.81 MiB/s; 908.92k records/s
463.67 MiB/s; 949.61k records/s
509.99 MiB/s; 1044.45k records/s
459.87 MiB/s; 941.81k records/s
447.87 MiB/s; 917.23k records/s
348.87 MiB/s; 714.49k records/s
434.47 MiB/s; 889.78k records/s
468.88 MiB/s; 960.26k records/s
470.09 MiB/s; 962.74k records/s


acks = 0
580.02 MiB/s; 1187.88k records/s
436.40 MiB/s; 893.75k records/s
555.36 MiB/s; 1137.38k records/s
535.37 MiB/s; 1096.44k records/s
508.33 MiB/s; 1041.06k records/s
538.64 MiB/s; 1103.12k records/s
454.41 MiB/s; 930.62k records/s
579.62 MiB/s; 1187.07k records/s
583.13 MiB/s; 1194.24k records/s
515.10 MiB/s; 1054.93k records/s
506.16 MiB/s; 1036.62k records/s
546.63 MiB/s; 1119.50k records/s
559.92 MiB/s; 1146.71k records/s
491.47 MiB/s; 1006.54k records/s
455.02 MiB/s; 931.88k records/s
291.44 MiB/s; 596.88k records/s
286.87 MiB/s; 587.50k records/s
359.97 MiB/s; 737.22k records/s
378.97 MiB/s; 776.13k records/s
411.15 MiB/s; 842.03k records/s
423.44 MiB/s; 867.21k records/s
408.22 MiB/s; 836.04k records/s
272.28 MiB/s; 557.63k records/s
341.85 MiB/s; 700.11k records/s
416.73 MiB/s; 853.46k records/s
394.78 MiB/s; 808.52k records/s
359.87 MiB/s; 737.02k records/s
445.81 MiB/s; 913.01k records/s
381.13 MiB/s; 780.56k records/s
322.78 MiB/s; 661.06k records/s
373.79 MiB/s; 765.52k records/s
443.29 MiB/s; 907.86k records/s
492.25 MiB/s; 1008.12k records/s
448.79 MiB/s; 919.12k records/s


acks = -1
193.92 MiB/s; 397.15k records/s
399.17 MiB/s; 817.50k records/s
284.19 MiB/s; 582.02k records/s
318.60 MiB/s; 652.50k records/s
311.27 MiB/s; 637.48k records/s
278.32 MiB/s; 570.00k records/s
347.17 MiB/s; 711.00k records/s
385.41 MiB/s; 789.32k records/s
374.11 MiB/s; 766.18k records/s
333.98 MiB/s; 684.00k records/s
321.53 MiB/s; 658.50k records/s
301.76 MiB/s; 618.00k records/s
309.81 MiB/s; 634.50k records/s
334.70 MiB/s; 685.47k records/s
392.59 MiB/s; 804.03k records/s
354.49 MiB/s; 726.00k records/s
332.52 MiB/s; 681.00k records/s
273.19 MiB/s; 559.50k records/s
343.51 MiB/s; 703.50k records/s
315.98 MiB/s; 647.12k records/s
328.55 MiB/s; 672.88k records/s
413.09 MiB/s; 846.00k records/s
334.72 MiB/s; 685.50k records/s
282.04 MiB/s; 577.61k records/s
329.54 MiB/s; 674.89k records/s
286.92 MiB/s; 587.61k records/s
282.17 MiB/s; 577.89k records/s
419.51 MiB/s; 859.15k records/s
382.67 MiB/s; 783.72k records/s
267.89 MiB/s; 548.63k records/s
330.32 MiB/s; 676.50k records/s
326.66 MiB/s; 669.00k records/s
271.73 MiB/s; 556.50k records/s
340.58 MiB/s; 697.50k records/s
